Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,114.105,-29.75,0,top
C2,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,114.355,-45.24,0,top
C3,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,114.095,-60.01,0,top
C4,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,118.73,-76.545,270,top
C5,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,72.605,-70.51,180,top
C6,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,72.735,-55.9,180,top
C7,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,72.565,-39.51,180,top
C8,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,91.71,-76.805,270,top
C9,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,104.24,-76.585,270,top
C10,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,77.83,-76.74,270,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,114.1,-34.6,90,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,114.23,-50.4,90,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,114.17,-65.47,90,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,113.87,-76.8,0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,72.69,-65.5,270,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,72.69,-50.79,270,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,72.66,-34.55,270,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,99.26,-76.77,0,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,86.33,-76.8,0,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,72.6,-76.76,0,top
